code,date,close,max,low,avg,volume,turnover in BEST,total turnover
ADIN,26.01.2015,367.0,367.0,367.0,367.0,25.0,9175,9175
ADIN,02.02.2015,367.0,367.0,367.0,367.0,575.0,211025,211025
ADIN,03.02.2015,367.0,367.0,367.0,367.0,396.0,145332,145332
ADIN,13.02.2015,367.0,367.0,367.0,367.0,50.0,18350,18350
ADIN,25.03.2015,375.0,375.0,375.0,375.0,5.0,1875,1875
ADIN,14.04.2015,310.0,310.0,310.0,310.0,100.0,31000,31000
ADIN,25.06.2015,250.0,250.0,250.0,250.0,576.0,144000,144000
ADIN,18.08.2015,265.0,265.0,265.0,265.0,1.467,388755,388755
ADIN,05.10.2015,300.0,300.0,300.0,300.0,100.0,30000,30000
ADIN,22.10.2015,300.0,300.0,300.0,300.0,446.0,133800,133800
ADIN,28.10.2015,299.0,299.0,299.0,299.0,330.0,98670,98670
ADIN,30.10.2015,299.0,299.0,299.0,299.0,50.0,14950,14950
ADIN,04.11.2015,270.0,270.0,270.0,270.0,1.167,315090,315090
ADIN,05.11.2015,290.0,290.0,290.0,290.0,100.0,29000,29000
ADIN,10.11.2015,290.0,290.0,290.0,290.0,200.0,58000,58000
ADIN,19.11.2015,290.0,290.0,290.0,290.0,54.0,15660,15660
ADIN,25.11.2015,345.0,345.0,345.0,345.0,60.0,20700,20700
ADIN,24.12.2015,345.0,345.0,345.0,345.0,10.0,3450,3450
ADIN,05.01.2016,345.0,345.0,345.0,345.0,50.0,17250,17250
ADIN,04.03.2016,311.0,311.0,311.0,311.0,50.0,15550,15550
ADIN,09.03.2016,340.0,340.0,340.0,340.0,90.0,30600,30600
ADIN,11.03.2016,339.0,339.0,339.0,339.0,41.0,13899,13899
ADIN,15.03.2016,338.0,338.0,338.0,338.0,30.0,10140,10140
ADIN,22.03.2016,335.0,335.0,335.0,335.0,30.0,10050,10050
ADIN,31.03.2016,325.0,325.0,325.0,325.0,1.115,362375,362375
ADIN,01.04.2016,300.0,300.0,300.0,300.0,1.15,345000,345000
ADIN,05.04.2016,300.0,300.0,300.0,300.0,750.0,225000,225000
ADIN,03.05.2016,299.0,299.0,299.0,299.0,500.0,149500,149500
ADIN,05.05.2016,300.0,300.0,300.0,300.0,70.0,21000,21000
ADIN,18.05.2016,299.0,299.0,299.0,299.0,200.0,59800,59800
ADIN,23.05.2016,300.0,300.0,300.0,300.0,1.157,347100,347100
ADIN,31.05.2016,301.0,301.0,301.0,301.0,110.0,33110,33110
